,CODIGO_INTERNO,COD_FABRICANTE,NOME_FANTASIA,PRODUTO,QTDE_EMB,UNIDADE_MEDIDA,QTDE_SPNORTE,PRECO_SPNORTE,QTDE_ABC,PRECO_ABC,QTDE_SPLESTE,PRECO_SPLESTE,sumed_quantity_for_best_price_only,best_price_with_stock
12802,"8,40094E+11",FCD205811,WEG4,FILTRO COM11USTIVEL P4PEL PLISS4DO C/4R4N,1,PC,11,"24,61",,0,11,"22,39",11.0,22.39
12803,"8,40094E+11",FCI1300,WEG4,FILTRO COM11USTIVEL 4LUMINIO,1,PC,11,"55,82",4,"51,22",4,"51,22",8.0,51.22
12804,"8,40094E+11",FCI1616,WEG4,FILTRO COM11USTIVEL P4RTID4 FRIO,1,PC,11,"26,3",4,"24,42",,0,4.0,24.42
12805,"8,40094E+11",W4P285,WEG4,FILTRO 4R MOTOR TEL4 MET4LIC4 PRIM4RIO,1,PC,11,"65,03",4,"59,67",11,"65,03",4.0,59.67
12806,"8,40094E+11",4KX1201/C,WEG4,FILTRO C411INE 4R CONDICION4DO C/C4RV4O,1,PC,4,"29,22",4,"29,22",,0,8.0,29.22
12807,"8,40094E+11",WFC208,WEG4,FILTRO OLEO C4M11IO 4UTOM4TICO,1,PC,4,"113,28",4,"108,17",,0,4.0,108.17
12808,"8,40094E+11",WR374,WEG4,FILTRO 4R MOTOR,1,PC,11,"109,4",4,"109,4",,0,15.0,109.4
12809,"8,40094E+11",F4P4895,WEG4,FILTRO 4R MOTOR,1,PC,11,"44,4",11,"44,4",,0,22.0,44.4
12810,"8,40094E+11",JF40817,WEG4,FILTRO 4R MOTOR,1,PC,4,"94,34",,0,4,"94,34",8.0,94.34
12811,"8,40094E+11",JFO0989,WEG4,FILTRO OLEO,1,PC,4,"87,81",,0,,0,4.0,87.81
12812,"8,40094E+11",JFO0F00,WEG4,FILTRO OLEO,1,PC,4,"23,79",,0,,0,4.0,23.79
12813,"8,40094E+11",WO136,WEG4,FILTRO OLEO,1,PC,4,"57,14",,0,,0,4.0,57.14
12814,"8,40094E+11",WOE216,WEG4,FILTRO OLEO REFIL,1,PC,4,"59,55",,0,,0,4.0,59.55
12815,"8,40094E+11",WFC520,WEG4,FILTRO OLEO C4M11IO 4UTOM4TICO,1,PC,4,"108,73",4,"108,73",4,"108,73",12.0,108.73
12816,"8,40094E+11",WFC967,WEG4,FILTRO OLEO C4M11IO 4UTOM4TICO,1,PC,4,"138,3",4,"138,3",4,"138,3",12.0,138.3
12817,"8,78046E+11",4PK673,D4YCO,CORREI4 POLY-V,1,PC,11,"12,25",11,"12,75",11,"12,75",11.0,12.25
12818,"8,78046E+11",099SHP+190H,D4YCO,CORREI4 DENT4D4 114L4NCE4DOR,1,PC,11,"36,8",11,"37,2",11,"37,16",11.0,36.8
12819,"8,78046E+11",154SHDS300H,D4YCO,CORREI4 DENT4D4,1,PC,11,"137,24",11,"130,71",11,"137,24",11.0,130.71
12820,"8,78046E+11",135STP8M190H,D4YCO,CORREI4 DENT4D4,1,PC,11,"43,54",4,"43,54",,0,15.0,43.54
12821,"8,78046E+11",111SP170H,D4YCO,CORREI4 DENT4D4,1,PC,11,"34,21",,0,,0,11.0,34.21
12822,"8,78046E+11",6PK1900,D4YCO,CORREI4 POLY-V,1,PC,11,"34,42",,0,11,"34,42",22.0,34.42
12823,"8,78046E+11",1040910C,D4YCO,CORREI4 V,1,PC,11,"16,36",11,"16,36",11,"16,05",11.0,16.05
12824,"8,78046E+11",1340895C,D4YCO,CORREI4 V,1,PC,11,"20,67",,0,4,"20,9",11.0,20.67
12825,"8,78046E+11",1040840C,D4YCO,CORREI4 V,1,PC,11,"14,91",,0,,0,11.0,14.91
12826,"8,78046E+11",3PK778,D4YCO,CORREI4 POLY-V,1,PC,11,"14,7",11,"12,98",11,"13,62",11.0,12.98
12827,"8,78046E+11",6PK1496,D4YCO,CORREI4 POLY-V,1,PC,11,"39,61",11,"39,61",11,"37,71",11.0,37.71
12828,"8,78046E+11",6PK1700,D4YCO,CORREI4 POLY-V,1,PC,11,"40,8",11,"35,98",11,"40,8",11.0,35.98
12829,"8,78046E+11",6PK2240,D4YCO,CORREI4 POLY-V,1,PC,11,55,11,55,11,55,33.0,55.0
12830,"8,78046E+11",095SP+234H,D4YCO,CORREI4 DENT4D4,1,PC,11,"77,66",,0,11,"76,66",11.0,76.66
12831,"8,78046E+11",6PK1675,D4YCO,CORREI4 POLY-V,1,PC,11,"33,69",,0,4,"32,1",4.0,32.1
12832,"8,78046E+11",5PK1215,D4YCO,CORREI4 POLY-V,1,PC,4,"27,42",,0,4,"26,43",4.0,26.43
12833,"8,78046E+11",152SHDS300H,D4YCO,CORREI4 DENT4D4,1,PC,11,"113,48",11,"109,3",11,"113,48",11.0,109.3
12834,"8,78046E+11",134SP254H2,D4YCO,CORREI4 DENT4D4,1,PC,11,"111,75",11,"111,75",11,"111,75",33.0,111.75
12835,"8,78046E+11",104SP220H,D4YCO,CORREI4 DENT4D4,1,PC,11,"81,26",11,"81,26",11,"81,26",33.0,81.26
12836,"8,78046E+11",5PK1725,D4YCO,CORREI4 POLY-V,1,PC,11,"48,3",,0,,0,11.0,48.3
12837,"8,78046E+11",6PK762EE,D4YCO,CORREI4 POLY-V EL4STIC4 C/FERR4MENT4,1,PC,4,"62,39",11,"62,39",11,"62,39",26.0,62.39
12838,"8,78046E+11",6PK2870,D4YCO,CORREI4 POLY-V,1,PC,11,"95,84",,0,11,"94,15",11.0,94.15
12839,"8,78046E+11",6PK1560,D4YCO,CORREI4 POLY-V,1,PC,11,"50,98",11,"50,98",11,"50,98",33.0,50.98
12840,"8,78046E+11",6PK1450,D4YCO,CORREI4 POLY-V,1,PC,11,"42,84",11,"40,8",11,"40,8",22.0,40.8
12841,"8,78046E+11",5PK1770,D4YCO,CORREI4 POLY-V,1,PC,11,"40,28",11,"36,61",11,"36,61",22.0,36.61
12842,"8,78046E+11",6PK1345,D4YCO,CORREI4 POLY-V,1,PC,11,"31,53",11,"31,53",11,"31,53",33.0,31.53
12843,"8,78046E+11",6PK1715,D4YCO,CORREI4 POLY-V,1,PC,11,"43,28",11,"41,23",11,"43,28",11.0,41.23
12844,"8,78046E+11",7PK1515,D4YCO,CORREI4 POLY-V,1,PC,11,"40,23",,0,11,"40,23",22.0,40.23
12845,"8,83081E+11",1322-IKS,IKS,C411O EM11RE4GEM 865MM,1,PC,11,"39,12",11,"39,12",11,"39,12",33.0,39.12
12846,"8,83081E+11",1231-IKS,IKS,C411O FREIO 1582MM,1,PC,11,"32,29",11,"32,29",4,"32,29",26.0,32.29
12847,"8,83081E+11",2905-IKS,IKS,C411O ENG4TE 1260MM,1,PC,4,"159,9",4,"159,9",4,"159,9",12.0,159.9
12848,"8,83081E+11",1318-IKS,IKS,C411O EM11RE4GEM 930MM,1,PC,11,"30,62",11,"30,62",11,"30,62",33.0,30.62
12849,"8,83081E+11",2306-IKS,IKS,C411O EM11RE4GEM 1047MM,1,PC,11,"35,43",4,"35,43",11,"35,43",26.0,35.43
12850,"8,83081E+11",3204-IKS,IKS,C411O FREIO 2830MM,1,PC,11,"67,92",11,"67,92",11,"67,92",33.0,67.92
12851,"8,83081E+11",3326-IKS,IKS,C411O EM11RE4GEM 710MM,1,PC,11,"44,17",11,"44,17",11,"44,17",33.0,44.17
12852,"8,83081E+11",3802-IKS,IKS,C411O T4MP4 TR4SEIR4,1,PC,11,"12,6",,0,4,"13,73",11.0,12.6
12853,"8,83081E+11",3404-IKS,IKS,C411O VELOCIMETRO 1095MM,1,PC,11,"28,97",4,"27,12",,0,4.0,27.12
12854,"8,83081E+11",3235-IKS,IKS,C411O FREIO 2830MM,1,PC,11,"76,57",11,"76,57",11,"76,57",33.0,76.57
12855,"8,83081E+11",4516-IKS,IKS,C411O C4PO C/4L4V4NC4 2037MM,1,PC,11,"57,03",,0,4,"57,03",15.0,57.03
12856,"8,83081E+11",3228-IKS,IKS,C411O FREIO DIR.,1,PC,11,"38,7",4,"38,7",11,"38,7",26.0,38.7
12857,"8,83081E+11",4217-IKS,IKS,C411O FREIO DIR.TR4S. 2064MM,1,PC,4,"86,03",4,"86,03",,0,8.0,86.03
12858,"8,83081E+11",4287-IKS,IKS,C411O FREIO TR4S. ESQ.1380MM,1,PC,11,"31,85",11,"31,85",11,"31,85",33.0,31.85
12859,"8,83081E+11",4901-IKS,IKS,C411O ENG4TE M4RCH4 1170MM,1,PC,11,"150,83",11,"135,58",11,"150,83",11.0,135.58
12860,"8,83081E+11",3238-IKS,IKS,C411O FREIO LD 1753MM,1,PC,11,"95,26",11,"95,26",4,"95,26",26.0,95.26
12861,"8,83081E+11",4902-IKS,IKS,C411O SELEC4O 1090MM,1,PC,11,"152,19",4,"152,19",4,"152,19",19.0,152.19
12862,"8,83081E+11",3239-IKS,IKS,C411O FREIO LE 1753MM,1,PC,11,"76,72",4,"76,72",4,"76,72",19.0,76.72
12863,"8,83081E+11",4515-IKS,IKS,C411O C4PO C/4L4V4NC4 1385MM,1,PC,4,"19,07",,0,4,"19,07",8.0,19.07
12864,"8,83081E+11",4507-IKS,IKS,C411O C4PO C/4L4V4NC4,1,PC,11,"20,82",4,"17,1",4,"22,68",4.0,17.1
12865,"8,83081E+11",1248-IKS,IKS,C411O FREIO TR4S. LD 1850MM,1,PC,11,"50,03",11,"50,03",4,"50,03",26.0,50.03
12866,"8,83081E+11",3264-IKS,IKS,C411O FREIO LE 1735MM,1,PC,11,"44,94",11,"48,03",11,"48,03",11.0,44.94
12867,"8,83081E+11",2517-IKS,IKS,C411O C4PO S/4L4V4NC4 1510MM,1,PC,11,"35,56",,0,,0,11.0,35.56
12868,"8,83081E+11",3269-IKS,IKS,C411O FREIO LE 1750MM,1,PC,11,"61,74",4,"55,5",4,"61,74",4.0,55.5
12869,"8,87049E+11",G1001,GONEL,RESERV4TORIO EXP4NS4O S/FURO SENSOR,1,PC,11,"29,66",11,"29,66",11,"29,66",33.0,29.66
12870,"8,87049E+11",G1107,GONEL,RESERV4TORIO EXP4NS4O,1,PC,11,"40,79",11,"40,79",11,"40,79",33.0,40.79
12871,"8,87049E+11",G1301,GONEL,RESERV4TORIO EXP4NS4O 2 S4ID4S,1,PC,11,"34,15",11,"34,15",11,"34,15",33.0,34.15
12872,"8,87049E+11",G1022,GONEL,RESERV4TORIO EXP4NS4O C/11OC4L P/SENSOR,1,PC,11,"89,31",11,"89,31",11,"89,31",33.0,89.31
12873,"8,87049E+11",G1252,GONEL,RESERV4TORIO EXP4NS4O 2 S4ID4S,1,PC,11,"60,75",11,"60,75",11,"60,75",33.0,60.75
12874,"8,87049E+11",G1253,GONEL,RESERV4TORIO EXP4NS4O 3 S4ID4S,1,PC,11,"60,75",11,"60,75",11,"60,75",33.0,60.75
12875,"8,87049E+11",G1116,GONEL,RESERV4TORIO EXP4NS4O 2 S4ID4S,1,PC,11,"66,21",11,"66,21",11,"66,21",33.0,66.21
12876,"8,87049E+11",G1215,GONEL,RESERV4TORIO EXP4NS4O 2 S4ID4S C/SENSOR,1,PC,11,"89,28",11,"89,28",4,"89,28",26.0,89.28
12877,"8,87049E+11",G1320,GONEL,RESERV4TORIO EXP4NS4O,1,PC,11,"94,02",11,"94,02",4,"94,02",26.0,94.02
12878,"8,87049E+11",G1029,GONEL,RESERV4TORIO P4RTID4 FRIO,1,PC,4,"129,61",4,"143,01",,0,4.0,129.61
12879,"8,87049E+11",G1126,GONEL,RESERV4TORIO EXP4NS4O E P4R411RIS4,1,PC,4,"163,27",11,"216,91",,0,4.0,163.27
12880,"8,90082E+11",87090,4 J E,V4LVUL4 4NTICH4M4 SEP4R4DOR OLEO,1,PC,11,"11,28",4,"11,28",11,"11,28",26.0,11.28
12881,"8,90082E+11",87163,4 J E,FL4NGE COTOVELO V4LVUL4 TERMOST4TIC4,1,PC,11,"9,4",11,"9,4",11,"9,4",33.0,9.4
12882,"8,90082E+11",87171,4 J E,TU11O D'4GU4,1,PC,4,"19,76",,0,,0,4.0,19.76
12883,"8,90082E+11",87205,4 J E,FL4NGE COTOVELO V4LVUL4 TERMOST4TIC4,1,PC,4,"11,13",,0,4,"11,13",8.0,11.13
12884,"8,90082E+11",87226,4 J E,FL4NGE CONEX4O R4PID4 SUPERIOR R4DI4DOR,1,PC,11,"36,15",4,"31,22",4,"36,15",4.0,31.22
12885,"9,45021E+11",2618CP4,CO11REQ,S4P4T4 FREIO C/H4STE,1,JG,11,"111,03",11,"111,03",11,"111,03",33.0,111.03
12886,"9,45021E+11",2733CP4,CO11REQ,S4P4T4 DE FREIO C/H4STE,1,JG,11,"197,4",4,"197,4",4,"197,4",19.0,197.4
12887,"9,45021E+11",2727CP4,CO11REQ,S4P4T4 FREIO C/H4STE,1,JG,4,"149,69",,0,4,"149,69",8.0,149.69
12888,"9,45024E+11",N262CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4 4NTI-RUIDO,1,JG,11,"86,47",11,"86,47",11,"86,47",33.0,86.47
12889,"9,45024E+11",N332CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4,1,JG,11,"74,71",11,"72,93",11,"74,71",11.0,72.93
12890,"9,45024E+11",N448CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4,1,JG,11,"51,45",11,"51,45",11,"51,45",33.0,51.45
12891,"9,45024E+11",N1344CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4,1,JG,11,"77,21",11,"77,21",11,"77,21",33.0,77.21
12892,"9,45024E+11",N1447CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4,1,JG,11,"163,05",,0,4,"163,05",15.0,163.05
12893,"9,45024E+11",N288CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4,1,JG,11,"71,07",11,"71,07",11,"71,07",33.0,71.07
12894,"9,45024E+11",N384CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4 4NTI-RUIDO,1,JG,11,"149,48",11,"149,48",4,"149,48",26.0,149.48
12895,"9,45024E+11",N1780CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4 4NTI-RUIDO,1,JG,11,"179,4",11,"179,4",11,"179,4",33.0,179.4
12896,"9,45024E+11",N1783CO,CO11REQ,P4STILH4 FREIO TR4SEIR4 4NTI-RUIDO,1,JG,11,"153,67",11,"153,67",11,"153,67",33.0,153.67
12897,"9,45024E+11",N298CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4,1,JG,11,"184,45",4,"184,45",11,"184,45",26.0,184.45
12898,"9,45024E+11",N2090CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4,1,JG,4,"231,16",,0,4,"231,16",8.0,231.16
12899,"9,45024E+11",N2120CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4 4NTI-RUIDO,1,JG,4,"156,03",11,"156,03",11,"156,03",26.0,156.03
12900,"9,45024E+11",N2131CO,CO11REQ,P4STILH4 FREIO DI4NTEIR4 4NTI-RUIDO,1,JG,11,"124,28",4,"124,28",11,"124,28",26.0,124.28
12901,"9,47024E+11",HQJ-2235,JURID,P4STILH4 FREIO DI4NTEIR4,1,JG,4,"102,84",4,"104,87",4,"103,39",4.0,102.84
12902,"9,47024E+11",HQJ-2304,JURID,P4STILH4 FREIO DI4NTEIR4,1,JG,11,"141,63",,0,11,"122,13",11.0,122.13
12903,"1,90204E+12",12539000PX80,POSITRON,CONTROLE DE 4L4RME C4NIVETE,1,PC,11,"74,71",,0,11,"74,71",22.0,74.71
12904,"1,90204E+12",12952000DPN62,POSITRON,CONTROLE DE 4L4RME PRESENC4 DUO FXG8,1,PC,4,"39,83",,0,,0,4.0,39.83
12905,"1,90204E+12",012539001PX85,POSITRON,CONTROLE DE 4L4RME C4NIVETE,1,PC,11,"78,41",,0,,0,11.0,78.41
