,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
axios0110690,0.0,,,,,0.0,,,,3.0,,,,,1.0,,,,1.0
axios0110754,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0111247,0.0,,,,,0.0,,,,8.0,,,,,1.0,,,,1.0
axios0111249,0.0,,,,,0.0,,,,10.0,,,,,1.0,,,,1.0
axios0111713,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0112029,0.0,,,,,0.0,,,,7.0,,,,,1.0,,,,1.0
axios0112234,0.0,,,,,0.0,,,,4.0,,,,,1.0,,,,1.0
axios0112417,0.0,,,,,0.0,,,,6.0,,,,,1.0,,,,1.0
axios0112439,0.0,,,,,0.0,,,,5.0,,,,,1.0,,,,1.0
axios0112444,0.0,,,,,0.0,,,,1.0,,,,,1.0,,,,1.0
axios0112748,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0112808,0.0,,,,,0.0,,,,4.0,,,,,1.0,,,,1.0
axios0112859,0.0,,,,,0.0,,,,11.0,,,,,1.0,,,,1.0
axios0121262,,,,,0.0,0.0,,,,,,,,6.0,1.0,,,,1.0
axios0121263,,,,,0.0,0.0,,,,,,,,8.0,1.0,,,,1.0
axios0121604,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0210282,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0210407,0.0,,,,,0.0,,,,6.0,,,,,1.0,,,,1.0
axios0210456,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0210504,0.0,,,,,0.0,,,,1.0,,,,,1.0,,,,1.0
axios0210559,0.0,,,,,0.0,,,,1.0,,,,,1.0,,,,1.0
axios0210582,0.0,,,,,0.0,,,,5.0,,,,,1.0,,,,1.0
axios0210602,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0210656,0.0,,,,,0.0,,,,1.0,,,,,1.0,,,,1.0
axios0210680,0.0,,,,,0.0,,,,1.0,,,,,1.0,,,,1.0
axios0210700,0.0,,,,,0.0,,,,5.0,,,,,1.0,,,,1.0
