,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
axios0121262,,,,,56.89,42.17,,,,,,,,0.0,0.0,,,,0.0
axios0121263,,,,,38.48,39.14,,,,,,,,0.0,0.0,,,,0.0
axios0121604,44.0,,,,,33.65,,,,0.0,,,,,0.0,,,,0.0
axios0210282,70.0,,,,,54.51,,,,0.0,,,,,0.0,,,,0.0
axios0210407,41.79,,,,,33.15,,,,0.0,,,,,0.0,,,,0.0
axios0210456,142.17,,,,,105.15,,,,0.0,,,,,0.0,,,,0.0
axios0210504,157.74,,,,,132.19,,,,0.0,,,,,0.0,,,,0.0
axios0210559,133.16,,,,,108.41,,,,0.0,,,,,0.0,,,,0.0
axios0210582,63.98,,,,,46.25,,,,0.0,,,,,0.0,,,,0.0
axios0210602,53.0,,,,,41.69,,,,0.0,,,,,0.0,,,,0.0
axios0210656,121.54,,,,,102.0,,,,0.0,,,,,0.0,,,,0.0
axios0210680,192.9,,,,,178.5,,,,0.0,,,,,0.0,,,,0.0
axios0210700,82.88,,,,,70.35,,,,0.0,,,,,0.0,,,,0.0
