Filial;Produto;Descricao;NCM;Disponivel;Preco;Marca;Cód.Fabricante
2-SP;42379;PONTEIRA PARA-CHOQUE DIANT. DIR. (PTO)                                ;87081000;0;14,8;JAHU PLACA PRETA              ;
2-SP;42386;PONTEIRA PARA-CHOQUE TRAS. ESQ. (PTO)                                 ;87081000;9;9,29;JAHU PLACA PRETA              ;
2-SP;42393;PONTEIRA PARA-CHOQUE TRAS. DIR. (PTO)                                 ;87081000;4;12,52;JAHU PLACA PRETA              ;
2-SP;42607;REVESTIMENTO DA PORTA DIANT. PRETO                                    ;87082999;8;75,74;JAHU PLACA PRETA              ;
2-SP;43147;BORRACHAO PARA-CHOQUE C/GRAMPO (CASTELINHO)                           ;40082900;4;40,39;JAHU PLACA PRETA              ;
2-SP;43161;MANGUEIRA TERM. COL. ADMISSÃO                                         ;40093100;4;10,45;JAHU PLACA PRETA              ;
2-SP;43253;FLEXÍVEL FREIO TRAS. (366MM)                                          ;59090000;4;19,25;JAHU PLACA PRETA              ;
2-SP;43345;CILINDRO DO PORTA-MALAS (C/CHAVE) (CROMADO)                           ;87082999;6;44,15;JAHU PLACA PRETA              ;
2-SP;43505;"EMBLEMA ""CARAVAN""                                                     ";39263000;2;2,55;JAHU PLACA PRETA              ;
2-SP;45042;BUCHA DA BARRA ESTABILIZADORA DIANT. CENTRAL (14MM)                   ;40169990;4;4,51;JAHU PLACA PRETA              ;
2-SP;45080;"EMBLEMA ""MONZA""                                                       ";39263000;7;2,55;JAHU PLACA PRETA              ;
2-SP;45189;COXIM DO MOTOR DIANT. ESQ.                                            ;87089990;10;35,61;JAHU PLACA PRETA              ;
2-SP;45196;COXIM DO MOTOR DIANT. DIR.                                            ;87089990;> 10.00   ;62,78;JAHU PLACA PRETA              ;
2-SP;45288;COXIM MOTOR DIANT. ESQ. (ORIG.)                                       ;40169990;0;110,04;JAHU PLACA PRETA              ;
2-SP;45325;FLEXÍVEL FREIO DIANT. (345MM)                                         ;59090000;1;25,44;JAHU PLACA PRETA              ;
2-SP;45462;KIT AMORTECEDOR DIANT. (BATENTE/COXIM/GUARDA-PÓ BOR./ROLAMENTO)       ;87088000;> 10.00   ;98,22;JAHU PLACA PRETA              ;
2-SP;45479;KIT AMORTECEDOR DIANT. (BATENTE PU./GUARDA-PÓ BOR./ROLAMENTO ORIG.)   ;87088000;0;90,31;JAHU PLACA PRETA              ;
2-SP;45486;GUARNIÇÃO QUEBRA-VENTO ESQ.                                           ;40082900;0;92,86;JAHU PLACA PRETA              ;
2-SP;45493;GUARNIÇÃO QUEBRA-VENTO DIR.                                           ;40082900;1;92,86;JAHU PLACA PRETA              ;
2-SP;45516;GRAMPO FRISO LAT.                                                     ;87082999;40;0,76;JAHU PLACA PRETA              ;
2-SP;45738;MANGUEIRA DO RESPIRO DO ÓLEO ORIG.                                    ;40093100;> 10.00   ;16,51;JAHU PLACA PRETA              ;
2-SP;45745;MANGUEIRA DO RADIADOR INF. ORIG.                                      ;40093100;2;56,91;JAHU PLACA PRETA              ;
2-SP;45776;MANGUEIRA DO RADIADOR INF. ORIG.                                      ;40093100;> 10.00   ;56,06;JAHU PLACA PRETA              ;
2-SP;45806;MANGUEIRA COL./TUBO ADMISSÃO (ORIG.)                                  ;40093100;> 10.00   ;14,81;JAHU PLACA PRETA              ;
2-SP;45868;ARREMATE FAROL DIR.                                                   ;87082999;> 10.00   ;3,2;JAHU PLACA PRETA              ;
2-SP;45875;ARREMATE FAROL ESQ.                                                   ;87087090;> 10.00   ;3,21;JAHU PLACA PRETA              ;
2-SP;45936;SUPORTE ESCAPAMENTO (FUCINHO)                                         ;40169990;51;1,5;JAHU PLACA PRETA              ;
2-SP;46155;SUP. PONTEIRA PARA-CHOQUE DIANT.                                      ;87082999;> 20.00   ;2,7;JAHU PLACA PRETA              ;
