COD COMPEL;COD FABRICA;QTDE EMBALAGEM;UNIDADE MEDIDA;DISPONIBILIDADE;PREÇO;FABRICANTE
17667;17667;1;Pc;Indisponível;0;STABILUS LTDA
18329;18329;1;Pc;Indisponível;125,14;STABILUS LTDA
18613;18613;1;Pc;Indisponível;0;STABILUS LTDA
20207;20207;1;Pc;A;10,66;CONTINENTAL IND. E COM.DE PEC. DE REP. AUTOM. LTDA
20210;20210;1;Pc;B;24;CONTINENTAL IND. E COM.DE PEC. DE REP. AUTOM. LTDA
20224;20224;1;Pc;Indisponível;28;CONTINENTAL IND. E COM.DE PEC. DE REP. AUTOM. LTDA
20282;20282;1;Pc;Indisponível;0;STABILUS LTDA
210397;210397;1;Pc;Indisponível;91,12;TENNECO AUTOMOTIVE BRASIL LTDA.
210407;210407;1;Pc;A;27,17;TENNECO AUTOMOTIVE BRASIL LTDA.
210415;210415;1;Pc;Indisponível;141,44;TENNECO AUTOMOTIVE BRASIL LTDA.
210419;210419;1;Pc;Indisponível;97,78;TENNECO AUTOMOTIVE BRASIL LTDA.
210456;210456;1;Pc;Indisponível;92,23;TENNECO AUTOMOTIVE BRASIL LTDA.
210505;210505;1;Pc;A;63,52;TENNECO AUTOMOTIVE BRASIL LTDA.
210524;210524;1;Pc;Indisponível;18,22;TENNECO AUTOMOTIVE BRASIL LTDA.
210554;210554;1;Pc;A;90,34;TENNECO AUTOMOTIVE BRASIL LTDA.
210582;210582;1;Pc;A;41,41;TENNECO AUTOMOTIVE BRASIL LTDA.
210602;210602;1;Pc;A;35,35;TENNECO AUTOMOTIVE BRASIL LTDA.
210656;210656;1;Pc;A;86,48;TENNECO AUTOMOTIVE BRASIL LTDA.
210662;210662;1;Pc;Indisponível;183,95;TENNECO AUTOMOTIVE BRASIL LTDA.
210668;210668;1;Pc;B;108,73;TENNECO AUTOMOTIVE BRASIL LTDA.
210691;210691;1;Pc;Indisponível;93,73;TENNECO AUTOMOTIVE BRASIL LTDA.
210700;210700;1;Pc;B;62,98;TENNECO AUTOMOTIVE BRASIL LTDA.
210725;210725;1;Pc;B;45,88;TENNECO AUTOMOTIVE BRASIL LTDA.
210733;210733;1;Pc;A;70,07;TENNECO AUTOMOTIVE BRASIL LTDA.
210752;210752;1;Pc;A;131,58;TENNECO AUTOMOTIVE BRASIL LTDA.
210759;210759;1;Pc;A;72,43;TENNECO AUTOMOTIVE BRASIL LTDA.
210789;210789;1;Pc;B;32,53;TENNECO AUTOMOTIVE BRASIL LTDA.
210850;210850;1;Pc;B;46,32;TENNECO AUTOMOTIVE BRASIL LTDA.
210851;210851;1;Pc;B;46,32;TENNECO AUTOMOTIVE BRASIL LTDA.
210887;210887;1;Pc;A;119,29;TENNECO AUTOMOTIVE BRASIL LTDA.
210907;210907;1;Pc;A;88,78;TENNECO AUTOMOTIVE BRASIL LTDA.
210908;210908;1;Pc;A;95,39;TENNECO AUTOMOTIVE BRASIL LTDA.
211127;211127;1;Pc;A;143,53;TENNECO AUTOMOTIVE BRASIL LTDA.
211128;211128;1;Pc;B;143,53;TENNECO AUTOMOTIVE BRASIL LTDA.
211148;211148;1;Pc;A;83,25;TENNECO AUTOMOTIVE BRASIL LTDA.
211149;211149;1;Pc;Indisponível;83,25;TENNECO AUTOMOTIVE BRASIL LTDA.
211150;211150;1;Pc;Indisponível;60,57;TENNECO AUTOMOTIVE BRASIL LTDA.
211151;211151;1;Pc;A;60,57;TENNECO AUTOMOTIVE BRASIL LTDA.
