CODIGO_INTERNO;COD_FABRICANTE;NOME_FANTASIA;PRODUTO;QTDE_EMB;UNIDADE_MEDIDA;QTDE_SPNORTE;PRECO_SPNORTE;QTDE_ABC;PRECO_ABC;QTDE_SPLESTE;PRECO_SPLESTE
89031002798;GP33320;COFAP;AMORTECEDOR DIANTEIRO LD TURBOGAS;1;PC;B;503,54;B;510,12;A;503,54
89031002832;MGC19138;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;165,76;B;153,17;A;128,56
89031002865;GB48302;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;314,87;B;330,05;A;350,56
89031002868;GB48331;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;293,22;B;278,06;;0
89031002878;GP33333;COFAP;AMORTECEDOR DIANTEIRO ESQUERDO TURBOGAS;1;PC;B;518,36;B;508,88;A;514,73
89031002904;MGC16634;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;68,41;B;67,63;B;65,79
89031002932;GB48373;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;A;315,99;;0;;0
89031002949;MGC16699;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;97,69;A;97;A;91,49
89031003028;MGC16639;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;70,17;;0;;0
89031003031;MGC16652;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;A;92,07;;0;;0
89031003043;GP30580;COFAP;AMORTECEDOR DIANTEIRO LD TURBOGAS;1;PC;B;342,87;B;342,87;B;319,44
89031003061;GB48417;COFAP;AMORTECEDOR TRASEIRO;1;PC;B;402,86;A;403,51;A;398,13
89031003113;GB48425;COFAP;AMORTECEDOR TRASEIRO;1;PC;A;281,91;B;275,46;A;301,46
89031003122;GP33426;COFAP;AMORTECEDOR TRASEIRO LD;1;PC;A;594,39;A;595,31;;0
89031003126;GP33438;COFAP;AMORTECEDOR DIANTEIRO LD;1;PC;A;592,96;A;557,01;A;582,75
89031003128;GP33442;COFAP;AMORTECEDOR TRASEIRO LD;1;PC;A;568,52;A;560,88;A;582,69
89031003132;GP33446;COFAP;AMORTECEDOR DIANTEIRO LD;1;PC;A;471,62;A;472,36;A;490,56
